post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neoclassical_theory;Neoclassical Theory;Théorie néo-classique;Neoklassische Theorie;;Teoría neoclásica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neoclassical_theory_desc;Neoclassical Theory;Théorie néo-classique;Neoklassische Theorie;;Teoría neoclásica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
johann_heinrich_von_thünen;Johann Heinrich von Thünen;Johann Heinrich von Thünen;Johann Heinrich von Thünen;;Johann Heinrich von Thünen;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
johann_heinrich_von_thünen_desc;Johann Heinrich von Thünen was a North German landowner from the Mecklenburg area. Although educated at Göttingen, he spent most of his life managing his rural estate, Tellow.  In the first volume of his treatise, The Isolated State (1826), he laid down the first serious treatment of spatial economics, connecting with the theory of rent.  His second volume (1850) developed the essence of the marginal productivity theory of distribution in a mathematically precise way, thereby making one of the most important Proto-Marginalists of the era. Nearing his death, he asked that his famous equation for the marginal product of labor, or natural wage, be carved into his tombstone.;Johann Heinrich von Thünen était un propriétaire terrien d'Allemagne du nord de la région de Mecklembourg. Bien qu'éduqu??Göttingen, il a pass?presque toute sa vie ?la gestion de son domaine rural, Tellow. Dans le premier volume de son trait? État isol?(1826), il a pos?le premier traitement sérieux de l'économie spatiale, la connexion avec la théorie de la rente. Son second volume (1850) a développ?l'essence de la théorie de la productivit?marginale dans la distribution d'une façon mathématiquement précise, le faisant ainsi l'un des plus importants proto-marginalistes de l'époque. Sentant approch?sa mort, il a demand?que sa fameuse équation de la productivit?marginale du travail, ou salaire naturel, soit grav?sur sa pierre tombale. ;Johann Heinrich von Thünen war ein norddeutscher Grundbesitzer aus dem Raum Mecklenburg. Obwohl er in Göttingen ausgebildet worden war, verbrachte er den Großteil seines Lebens mit der Verwaltung seines Landguts Tellow. Mit dem ersten Band seiner Abhandlung 'Der isoli[e]rte Staat in Beziehung auf Landwirtschaft und Nationalökonomie, oder Untersuchungen über den Einflu? den die Getreidepreise, der Reichthum des Bodens und die Abgaben auf den Ackerbau ausüben' (1826) lieferte er die erste ernstzunehmende Raumstrukturtheorie in Verbindung mit der Rententheorie. Sein zweiter, im Jahr 1850 erschienener Band entwickelte die Essenz der marginalen Produktivitätstheorie des Vertriebs auf präzise mathematische Art und Weise und machte ihn zu einem der wichtigsten Proto-Marginalisten seiner Zeit. Kurz vor seinem Tod bat er darum, seine berühmte Gleichung für das marginale Produkt der Arbeit, oder Lagerente, in seinen Grabstein meißeln zu lassen.;;Johann Heinrich von Thünen fue un terrateniente del norte de Alemania, de la zona de Mecklenberg. Aunque fue educado en Gotinga, pas?la mayor parte de su vida dirigiendo su finca rural.  En el primer volumen de su tratado, 'El estado aislado' (1826), estableci?el primer tratado serio para la economía espacial, conectándola con la teoría de la renta.  Su segundo volumen (1850) desarrollaba la esencia de la teoría de la distribución de la productividad marginal de un modo matemático muy preciso, por lo que fue uno de los proto-marginalistas más importantes de la época. A punto de morir, pidi?que se grabara en su tumba su famosa ecuación del producto marginal del trabajo, o salario natural.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
léon_walras;Léon Walras;Léon Walras;Léon Walras;;Léon Walras;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
léon_walras_desc;The French economist Léon Walras (pronounced 'Valrasse') has been hailed by Joseph Schumpeter as 'the greatest of all economists'. Walras was one of the three leaders of the Marginalist Revolution, even though his greatest work, Elements of Pure Economics, was published in 1874, three years after those of William Stanley Jevons and Carl Menger. Nonetheless, alone among the three revolutionaries, Léon Walras set forth the new 'marginalist' or 'Neoclassical' theory in a formal general equilibrium setting.   Thus, he endowed it with the multi-market considerations Jevons had largely avoided and the mathematical precision Menger had eschewed. Léon Walras is widely and rightfully regarded as the father of general equilibrium theory.;L'économiste français Léon Walras (prononc?Valrasse) a ét?salu?par Joseph Schumpeter comme «le plus grand de tous les économistes? Walras a ét?l'un des trois leaders de la révolution marginaliste, même si sa plus grande œuvre, Eléments de pure économie, a ét?publi?en 1874, trois ans après ceux de William Stanley Jevons et de Carl Menger. Néanmoins, seul des trois révolutionnaires, Léon Walras énonce les nouveaux 'marginaliste' ou 'néo-classique' une théorie dans un cadre d'équilibre général formel. Ainsi, il l'a dot?avec les considérations multi-march?que Jevons avait largement évit?et de la précision mathématique que Menger avait évit? Léon Walras est partout et ?juste titre considér?comme le père de la théorie de l'équilibre général. ;Der französische Wirtschaftswissenschaftler Léon Walras wurde von Joseph Schumpeter als 'größer Ökonom aller Zeiten' gepriesen. Walras war einer der drei Anführer der marginalistischen Revolution, obwohl sein größtes Werk, 'Éléments d'économie pure ou théorie de la richesse sociale' erst 1874 veröffentlicht worden war und somit drei Jahre nach den Werken von William Stanley Jevons und Carl Menger. Nichtsdestotrotz brachte Léon Walras als einziger der drei Revolutionäre die neue marginalistische oder neoklassische Theorie in einer allgemeinen Gleichgewichtstheorie voran. Demgemäß wandte er die Überlegungen hinsichtlich multipler Märkte auf sie an, die Jevons und vor allem der mathematisch präzise Menger weitestgehend gemieden hatten. Léon Walras wird weithin zurecht als Vater der Allgemeinen Gleichgewichtstheorie angesehen.;;El economista francés Léon Walras (pronunciado 'Balrás'), ha sido aclamado por Joseph Schumpeter como 'el mayor de todos los economistas'. Walras fue uno de los tres líderes de la Revolución Marginalista, incluso a pesar de que su mejor obra, los 'Elementos de economía pura' fue publicada en 1874, tres años después de las de William Stanley Jevons and Carl Menger. A pesar de ello, sólo él de entre los tres revolucionarios coloc?a la nueva teoría 'marginalista' o 'Neoclásica' en un entorno general de equilibrio formal.   As? la dot?de unas consideraciones sobre el multi-mercado que Jevons había evitado, al igual que hizo la precisión matemática de Menger. A Léon Walras se le considera, acertadamente, el padre de la teoría general del equilibrio.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stanley_jevons;Stanley Jevons;Stanley Jevons;Stanley Jevons;;Stanley Jevons;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stanley_jevons_desc;The impact of Jevons on economics can hardly be exaggerated.  As the father of Neoclassical economics, his legacy is secure.  However, in some ways, he stopped short of the mark.  Jevons could have gone further by connecting his insights in pure exchange into a wider theory incorporating production, capital, money and the business cycle in a more systematic and consistent manner that would have knocked the Ricardian School completely out of the picture.  Had he not died so young, Jevons might yet have done so, but the next economics treatise he was working on (published posthumously in 1905), did not really seem to go in that ambitious direction.  As such, by the time of his death, the Marginalist Revolution was still in its insurrectionist phase.  It was still a tentative proposition rather than a firmly-set and integrated system, a scientific hypothesis but not quite yet a science. It should be noted that Jevons made maybe as much for the subject of Logics as for economics, which is quite a feat.;L'impact de Jevons sur l'économie ne saurait être exagérée. En tant que père de l'économie néoclassique, son héritage est sécuris? Cependant, ?certains égards, il s'arrêta tout court près du but. Jevons aurait pu aller plus loin en reliant son point de vue en pur échange dans une plus large théorie intégrant la production, le capital, l'argent et le cycle économique d'une manière plus systématique et cohérente qui aurait frapp?fortement l'école de Ricardo complètement hors jeu. S'il n'était pas mort si jeune, Jevons aurait pu encore le faire, mais le prochain trait?d'économie sur lequel il travaillait (publi??titre posthume en 1905), ne semble pas vraiment aller dans cette direction ambitieuse. En tant que tel, au moment de sa mort, la révolution marginaliste était encore dans sa phase insurrectionnelle. Elle était encore une proposition provisoire plutôt qu'un système bien-n?et intégr? une hypothèse scientifique, mais pas encore tout ?fait une science. Il convient de noter que Jevons a fait peut-être autant pour le sujet des logiques que pour l'économie, ce qui est un exploit en soi. ;Der Einfluss von Jevons auf die Wirtschaftswissenschaften war von größter Bedeutung. Als Vater des neoklassischen Wirtschaftsansatzes ist sein Namen untrennbar mit der Geschichte verbunden. In manchen Fragen hielt er aber kurz vor dem Ziel an: Jevons hätte noch weiter gehen können, wenn er seine Erkenntnisse in eine breitere, Produktions-, Geld-, und Geschäftszyklen auf systematischere und konsistentere Weise integrierende Theorie hätte einfließen lassen, welche die ricardische Schule komplett aus den Angeln gehoben hätte. Wäre er nicht so jung gestorben, hätte er dies wahrscheinlich noch gemacht. Seine nächste Wirtschaftsabhandlung (posthum im Jahr 1905 veröffentlicht) ging jedoch nicht in diese ambitionierte Richtung, und so steckte die marginalistische Revolution zum Zeitpunkt seines Todes immer noch in ihrer aufrührerischen Phase. Noch war sie mehr ein zaghafter Vorschlag als ein solide fundiertes und integriertes System ... eine wissenschaftliche Hypothese, aber noch keine Wissenschaft für sich. Jevons hat übrigens für die Logik ebenso viel beigetragen wie für die Wirtschaft, was eine enorme Leistung darstellt.;;Es difícil exagerar el impacto de Jevons en la Economía.  Como padre de la economía Neoclásica, su legado est?asegurado.  Sin embargo, pas?bastante desapercibido en ciertos aspectos.  Jevons podría haber llegado más lejos si hubiera asociado sus ideas a una teoría amplia que incluyera la producción, el capital, el dinero y los negocios de una forma más sistemática y consistente. Eso hubiera sido un gran golpe contra la Escuela Ricardiana.  Si no hubiera muerto tan joven, Jevons podría haberlo hecho, aunque el tratado sobre economía en que estaba trabajando (publicado póstumo en 1905), no parecía ir realmente en tan ambiciosa dirección.  La Revolución Marginalista como tal todavía estaba en su fase de insurrección en el momento de su muerte.  Aún era una proposición tentadora más que un sistema integrado y firmemente establecido, una hipótesis científica, pero no una ciencia. Debería observarse que Jevons hizo tanto por la Lógica como por la Economía, lo que es todo un logro.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carl_menger;Carl Menger;Carl Menger;Carl Menger;;Carl Menger;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carl_menger_desc;Carl Menger has been hailed as one of the three leaders of the 'Marginalist Revolution' of the 1870s, along with William Stanley Jevons and Léon Walras. However, Menger's Grundsätze (Principles), published in 1871, eschewed all the mathematical scaffolding that characterized the works of the other two revolutionaries. As such, many economists have insisted that Menger should be placed apart. In one sense, he can be considered different. Unlike Jevons or Walras, Carl Menger founded a proper 'school of thought' which has more-or-less retained its distinctive character since - namely, the Austrian School. His two disciples at Vienna, Eugen von Böhm-Bawerk and Friedrich von Wieser did much to advance and forge that school. ;"Carl Menger a ét?salu?comme l'un des trois meneurs de la «révolution marginaliste?des années 1870, avec Stanley Jevons et Léon Walras. Toutefois, 'Grundsätze' de Menger (Principes), publi?en 1871, renonce ?tout l'échafaudage mathématique qui caractérise les œuvres des deux autres révolutionnaires. En tant que tel, de nombreux économistes ont insist?sur le fait que Menger devait être plac??part. En un sens, son oeuvre ne peut être considérée comme différente. Contrairement ?Jevons ou ?Walras, Carl Menger a fond?une véritable ""école de pensée"" qui a plus ou moins conserv?son caractère distinctif depuis - ?savoir, l'école autrichienne. Ses deux disciples ?Vienne, Eugen von Böhm-Bawerk et Friedrich von Wieser ont beaucoup contribu??forg?l'avance de cette école. ";Carl Menger wurde zusammen mit William Stanley Jevons und Léon Walras als einer der drei Anführer der 'marginalistischen Revolution' der 1870er Jahre bejubelt. Mengers Werk 'Grundsätze der Volkswirthschaftslehre' (1871) umging dabei aber das mathematische Gerüst völlig, das die Arbeit der anderen beiden Revolutionäre gekennzeichnet hatte. Aus diesem Grund haben viele Wirtschaftswissenschaftlicher darauf bestanden, dass Mengers Arbeit separat betrachtet werden sollte. In einem Aspekt kann er mit Sicherheit als anders betrachtet werden: Im Gegensatz zu Jevons oder Walras gründete Carl Menger eine sachgerechte 'Gedankenschule', der Österreichischen Schule, die sich ihren unverwechselbaren Charakter bis heute bewahrt hat. Seine beiden Wiener Schüler, Eugen von Böhm-Bawerk und Friedrich von Wieser ihrerseits taten viel, diese Gedankenschule zu ferstigen und fördern.;;Carl Menger ha sido aclamado, junto a William Stanley Jevons y Léon Walras, como uno de los tres líderes de la 'Revolución Marginalista' de la década de 1870. Sin embargo, los Grundsätze (Principios) de Menger, publicados en 1871 evitaron todo el andamiaje matemático que caracterizaba las obras de los otros dos revolucionarios. Por ello, muchos economistas han insistido en que habría que colocar a Menger aparte. Puede considerársele diferente en un sentido: al contrario que Jevons o Walras, Carl Menger fund?una verdadera 'escuela de pensamiento', que ha conservado, más o menos, su carácter distintivo. A saber, la Escuela Austriaca. Sus dos discípulos en Viena, Eugen von Böhm-Bawerk y Friedrich von Wieser, hicieron mucho para que dicha escuela evolucionara y se fraguara. ;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thorstein_veblen;Thorstein Veblen;Thorstein Veblen;Thorstein Veblen;;Thorstein Veblen;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thorstein_veblen_desc;Thorstein Veblen is to economics what Jonathan Swift is to English literature: a master of the art of satire. It is essential to effective satire that its message be ambiguous: the reader should never be sure whether the author is absolutely serious or just pulling his or her leg. That quality is certainly present in Swift's Gulliver's Travels and it is also present in Veblen's Theory of the Leisure Class (1899), The Instinct of Workmanship (1914), Imperial Germany and the Industrial Revolution (1915), The Higher Learning in America (1918), Absentee Ownership (1923), and his many essays. In fact, it is there in everything he wrote except The Theory of Business Enterprise (1904), which is as near as he ever came to writing a conventional academic book. No matter which of these books we open, we find the idea that life in a modern industrial community is the result of a polar conflict between 'pecuniary employments' and 'industrial employments', between 'business enterprise' and 'the machine process', between 'vendibility' and 'serviceability'-in short, between making money and making goods. There is a class struggle under capitalism, not between the bourgeoisie and the proletariat, but between businessmen and engineers. Pecuniary habits of thought unite bankers, brokers, lawyers and managers in a defence of private acquisition;Thorstein Veblen est ?l'économie ce que Jonathan Swift est ?la littérature anglaise: un maître dans l'art de la satire. Il est aussi indispensable ?l'efficacit?de la satire que son message est ambigu: le lecteur ne devait jamais être sûr que l'auteur soit tout ?fait sérieux ou tout simplement traît?par dessus la jambe qui la qualit?certainement présente dans 'les Voyages de Gulliver' de Swift et également présente dans la théorie de Veblen de la Leisure Class (1899), L'Instinct de qualit?d'exécution (1914), l'Allemagne impériale et la révolution industrielle (1915), L'apprentissage supérieur en Amérique (1918),L' absence de propriétaires (1923), et ses nombreux essais. En fait, elle est l?dans tout ce qu'il a écrit, sauf La théorie des affaires des entreprises (1904), qui est plus proche de l'écriture d'un livre classique académique. Peu importe lequels de ces livres nous ouvrons, nous trouverons l'idée que la vie dans une communaut?industrielle moderne est le résultat d'un conflit entre 2 pôles 'emplois pécuniers' et 'emplois industriels', entre 'affaires d'entreprises' et 'le processus de la machine', entre 'attrait de la vente' et 'capacit?de service', bref, entre faire de l'argent et fabriquer des biens. Il y a une lutte des classes sous le capitalisme, non pas entre bourgeoisie et prolétariat, mais entre hommes d'affaires et ingénieurs. Les habitudes de pensée pécuniaire unissent banquiers, courtiers, avocats et gestionnaires dans une défense de l'acquisition privée.;Thorstein Veblen hat für die Wirtschaftswissenschaft dieselbe Bedeutung wie Jonathan Swift für die englische Literatur: Er war ein Meister der Satire. Für effiziente Satire ist es unerlässlich, dass sich der Leser nie sicher sein kann, ob es der Autor ernst meint oder ihn auf den Arm nimmt. Diese Qualität ist in Swifts 'Gulliver's Travels' und Veblens 'Theory of the Leisure Class' (1899), 'The Instinct of Workmanship' (1914), 'Imperial Germany and the Industrial Revolution' (1915), 'The Higher Learning in America' (1918), 'Absentee Ownership' (1923) und seinen zahlreichen Aufsätzen auf jeden Fall präsent. Tatsächlich haben sämtliche seiner Werke außer 'The Theory of Business Enterprise' (1904), das einem konventionellen wissenschaftlichen Buch noch am nächsten kommt, diesen satirischen Charakter. Ganz gleich, welches dieser Bücher wir aufschlagen, in jedem findet sich der Gedanke, dass das Leben in einer modernen Industriegesellschaft das Ergebnis eines Konflikts zwischen 'pekuniöser Beschäftigung' und 'industrieller Beschäftigung', zwischen 'Gewerbebetrieb' und 'dem maschinellen Prozess', zwischen 'Verkaufbarkeit' und 'Zweckdienlichkeit' ist - kurz gesagt: zwischen Geld verdienen und der Güterproduktion. Im Kapitalismus gibt es einen Klassenkampf zwischen Geschäftsleuten und Ingenieuren, nicht zwischen der Bourgeoisie und dem Proletariat. Pekuniöse Gedankenmuster vereinen Bankiers, Börsenmakler und Manager in der Verteidigung der Privatakquisition.;;Thorstein Veblen es a la economía lo que Jonathan Swift a la literatura inglesa: un maestro en el arte de la sátira. Lo esencia para que una sátira sea eficaz es que el mensaje resulte ambiguo: el lector nunca debe saber con seguridad si el autor habla totalmente en serio o solo le est?tomando el pelo. Esa cualidad est?verdaderamente presente en 'Los viajes de Gulliver' de Swift, y también en las obras de Veblen, 'Teoría de la clase ociosa' (1899), 'El instinto de producción' (1914), 'la Alemania imperial y la revolución industrial' (1915), 'La educación superior en América' (1918), 'La propiedad ausente' (1923) y en sus muchos ensayos. De hecho, existe sátira en todo lo que escribi? con excepción de 'La teoría sobre la iniciativa del negocio' (1904), que es lo más cercano a un libro teórico convencional que lleg?a escribir. No importa cuál de estos libros se abra, siempre encontramos la idea de que la vida en una comunidad industrial moderna es el resultado de un conflicto popular entre 'empleos pecuniarios' y 'empleos industriales', entre 'iniciativa de negocio' y 'el proceso de la máquina', entre 'vendibilidad' y 'utilidad';x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alfred_marshall;Alfred Marshall;Alfred Marshall;Alfred Marshall;;Alfred Marshall;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alfred_marshall_desc;He was, first and foremost, a brilliant and original theorist.;Il fut avant tout un théoricien brillant et original.;Er war in erster Linie ein brillanter und origineller Theoretiker.;;Fue, ante todo y sobre todo, un teórico brillante y original, pero también creía apasionadamente que la Economía debía contribuir al bienestar humano, y que los estudiantes de la misma debían saber tanto sobre los hechos económicos y sociales del mundo real como sobre los acercamientos teóricos a través de los cuales aquellos podían organizarse y entenderse.;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
augustin_cournot;Augustin Cournot;Augustin Cournot;Augustin Cournot;;Augustin Cournot;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
augustin_cournot_desc;French philosopher, mathematician and economist, Augustin Cournot has been rightly hailed as one of the greatest of the Proto-Marginalists.  The unique insights of his major economics work, Researches into the Mathematical Principles of Wealth (1838) were without parallel.  Although neglected in his time, the impact of Cournot work on modern economics can hardly be overstated.;;Französischer Philosoph, Mathematiker und Ökonom. Er wird zu Recht als einer der größten Proto-Marginalisten gewürdigt. Die einzigartigen Einsichten seines wirtschaftswissenschaftlichen Hauptwerks, 'Recherches sur les principes mathématiques de la théorie des richesses' (1838) waren ohne Gleichen. Obwohl er zu Lebzeiten kaum beachtet wurde, kann der Einfluss von Cournots Arbeit auf die Wirtschaftswissenschaften der Moderne gar nicht genug gewürdigt werden.;;Filósofo, matemático y economista francés, Augustin Cournot ha sido correctamente aclamado como uno de los mayores proto-marginalistas.  Las ideas únicas de su principal obra sobre economía, 'Investigaciones sobre los principios matemáticos de la riqueza' (1838) no tuvieron parangón.  Aunque no se le prest?atención en su época, es difícil exagerar el impacto de la obra de Cournot sobre la economía moderna.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jules_dupuit;Jules Dupuit;Jules Dupuit;Jules Dupuit;;Jules Dupuit;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jules_dupuit_desc;Jules Dupuit was perhaps the most illustrious of the French engineer-economists. Trained at the École des Ponts et Chaussées in Paris, Dupuit had a distinguished career as a civil engineer. From his work with infrastructure he was inspired to develop economic theory deeper.;;Jules Dupuit war vermutlich der berühmteste unter den französischen Ingenieur-Ökonomen. Er war am École des Ponts et Chaussées in Paris ausgebildet worden und hatte eine herausragende Karriere als Bauingenieur gehabt. Seine Infrastrukturarbeit inspirierte ihn, seine wirtschaftlichen Theorien weiter zu vertiefen.;;Jules Dupuit fue, quizás, el más ilustre de los ingeniero-economistas franceses. Formado en la École des Ponts et Chaussées de París, Dupuit tuvo una distinguida carrera como ingeniero civil. La inspiración para desarrollar más profundamente la teoría económica le lleg?de su trabajo con infraestructuras.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vilfredo_pareto;Vilfredo Pareto;Vilfredo Pareto;Vilfredo Pareto;;Vilfredo Pareto;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vilfredo_pareto_desc;The Italian economist Vilfredo Pareto was one of the leaders of the Lausanne School and an illustrious member of the 'second generation' of the Neoclassical revolution.  Although only mildly influential during his lifetime, his 'tastes-and-obstacles' approach to general equilibrium theory were resurrected during the great 'Paretian Revival' of the 1930s and have guided much of economics since.;;Der italienische Ökonom Vilfredo Pareto war einer der Anführer der Lausanner Schule und ein illustres Mitglied der zweiten Generation der neoklassischen Revolution. Obwohl er zu Lebzeiten nur moderat einflussreich war, wurde sein Denkansatz bezüglich der Allgemeinen Gleichgewichtstheorie während der großen 'Paretianischen Wiederbelebung' der 1930er Jahre wiederentdeckt und haben seither viele Ökonomen geleitet.;;El economista italiano Vilfredo Pareto fue uno de los líderes de la Escuela de Lausana y un ilustre miembro de la 'segunda generación' de la revolución Neoclásica.  Aunque tuvo una escasa influencia en vida, su aproximación de 'ensayo y error' a la teoría general del equilibrio fue resucitada durante el gran 'Renacimiento Paretiano' de la década de 1930, y desde entonces ha orientado a gran parte de la Economía.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
knut_wicksell;Knut Wicksell;Knut Wicksell;Knut Wicksell;;Knut Wicksell;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
knut_wicksell_desc;He was a Swedish economist whose work led to the widespread use of the word 'natural' to explain the long-run equilibrium rate of interest. Wicksell had a tremendous influence on economist James M. Buchanan. According to Buchanan, his theory of public choice 'was an almost natural consequence of my absorption of the Wicksellian message,' which stated that economists must cease acting as if government were a benevolent despot. Wicksell was a Malthusian and a strong advocate of birth control. He spoke out on moral issues quite often. He is best known for his work in 'Interest and Prices', in which he laid out his version of the quantity theory of money. His version was different from the standard view at that time in that he looked at the indirect effect that the money supply has on prices. Wicksell also elaborated on the theory of marginal productivity, which states that the payment to each factor of production equals that factors marginal productivity. He also stated that an efficient allocation of resources does not guarantee equitable distribution, because the preexisting distribution of income determines what form this allocation will take, and the preexisting distribution of income is not always just. The Stockholm School developed its own version of macroeconomics, which was based on Wicksell's work on quantity and price theory.;;Er war ein schwedischer Ökonom, der den Begriff des natürlichen Zinssatzes in die ökonomische Theorie einführte. Wicksell hatte enormen Einfluss auf den Ökonomen James M. Buchanan. Laut Buchanan war seine Public Choice Theory eine 'fast natürliche Konsequenz auf meine Beschäftigung mit dem Wicksellianen Gedanken'. Dessen Hauptaussage wiederum war, dass Ökonomen damit aufhören sollten, sich so zu verhalten, als wären Regierungen wohlwollende Despoten. Wicksell war ein Malthusianer und entschiedener Verfechter der Geburtenkontrolle und äußerste sich oft zu moralischen Fragen. Er ist vor allem für sein Werk 'Geldzins und Güterpreise' bekannt, in dem er seine Version der monetären Quantitätstheorie präsentiert. Seine Version unterschied sich dahingehend von der damals meistverbreitetsten Ansicht, dass er den indirekten Effekt des Geldumlaufs auf die Preise untersuchte. Wicksell führte auch die Theorie der marginalen Produktivität weiter aus, die aussagt, dass die Bezahlung jedes Produktionsfaktors gleich dessen marginaler Produktivität ist. Außerdem legte er dar, dass eine effiziente Ressourcenverteilung keine gerechte Verteilung garantierte, da die gegebene Einkommensverteilung vorbestimmt, welche Form diese Ressourcenverteilung annimmt, und diese gegebene Einkommensverteilung ist nicht immer gerecht sei. Die Stockholmer Schule entwickelte ihre eigene, auf Wicksells Arbeit an der Quantitäts- und Preistheorie aufbauende Version der Makroökonomie.;;Fue un economista sueco cuya obra llev?al uso generalizado de la palabra 'natural' para explicar el equilibrio a la larga de la tasa de interés. Wicksell tuvo una tremenda influencia en el economista James M.  Buchanan.  Según Buchanan, su teoría de la elección pública 'fue una consecuencia casi natural' de su absorción del mensaje wickselliano, que exponía que el economista debe dejar de actuar como si el gobierno fuera un benévolo déspota. Wicksell fue malthusiano y un firme defensor del control de la natalidad. A menudo hablaba muy claramente sobre cuestiones morales. Es más conocido por su trabajo en 'Interés y precios', donde exponía su versión de la teoría cuantitativa del dinero. Su versión se diferenciaba de la visión habitual de la época en que él miraba el efecto indirecto que tenía en los precios la masa monetaria. Wicksell también desarroll?la teoría de la productividad marginal, que determina que el pago a cada factor de la producción iguala la productividad marginal de esos mismos factores. También expuso que una asignación eficaz de los recursos no garantiza una distribución equitativa, porque la distribución preexistente de la renta determina qu?forma adoptar?esa asignación, y esa distribución no siempre es justa. La Escuela de Estocolmo desarroll?su propia versión de la macroeconomía, que se basaba en la obra de Wicksell sobre la teoría de la cantidad y el precio.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
irving_fischer;Irving Fischer;Irving Fischer;Irving Fischer;;Irving Fischer;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
irving_fischer_desc;Irving Fisher was one of the earliest American Neoclassicals of unusual mathematical sophistication. He made numerous important contributions to the Neoclassical Marginalist Revolution. This Yale economist was an eccentric and colorful figure. When Irving Fisher wrote his 1892 dissertation, he constructed a remarkable machine equipped with pumps, wheels, levers and pipes in order to illustrate his price theory. Socially, he was an avid advocate of eugenics and health food diets. He made a fortune with his visible index card system - known today as the rolodex - and advocated the establishment of an 100 percent reserve requirement banking system. His fortune was lost and his reputation was severely marred by the 1929 Wall Street Crash, when just days before the crash, he was reassuring investors that stock prices were not overinflated but, rather, had achieved a new, permanent plateau.;;Irving Fisher war einer der frühsten amerikanischen Neoklassizisten mit ungewöhnlichen mathematischen Fähigkeiten. Er lieferte zahlreiche wichtige Beiträge zur neoklassischen marginalistischen Revolution. Dieser Yale-Ökonom war eine exzentrische und schillernde Persönlichkeit. Als Irving Fisher 1892 seine Dissertation schrieb, konstruierte er zur Illustration seiner Preistheorie eine bemerkenswerte Maschine mit Pumpen, Hebeln und Rohren. Im sozialen Bereich war er ein eifriger Befürworter der Eugenik und der gesunden Ernährung. Mit seiner Kartenindex-Erfindung Rolodex machte er ein Vermögen - und setzte sich für die Einführung umlaufgesicherten Geldes ein. Durch den großen Börsenkrach von 1929 verlor er sein Vermögen, und auch sein Ruf nahm großen Schaden, als er nur wenige Tage vor dem Börsenkrach Investoren gegenüber versicherte, dass die Aktienpreise nicht aufgebauscht seien, sondern vielmehr ein neues, permanentes Plateau erreicht hätten.;;Irving Fischer fue uno de los primeros neoclásicos americanos de una sofisticación matemática inusual. Hizo numerosas e importantes contribuciones a la Revolución Marginalista Neoclásica. Este economista de Yale fue una figura excéntrica y vistosa. Cuando escribi?su disertación de 1892, construy?una máquina sorprendente equipada con bombas, ruedas, palancas y tuberías para ilustrar su teoría sobre los precios (mira aqu?los dibujos de su proyecto y de su primer y segundo prototipo). Socialmente, fue un ávido defensor de la eugenesia y de las dietas saludables. Hizo una fortuna con su visible sistema de fichas de registro (conocido hoy como rolodex), y abog?por el establecimiento de un sistema bancario de requisito de reserva del 100%. Su fortuna se perdi?y su reputación qued?seriamente afectada por el desplome de Wall Street de 1929, pues sólo unos días antes aseguraba nuevamente a los inversores que los precios del capital no estaban inflados, sino que más bien habían conseguido un estancamiento permanente.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
